,Country,Grape,Sweetness,Colour,Style,Closure,abv,Units,Description,Link
155,New Zealand,Riesling,Dry,White Wine,Tropical Whites,Screwcap,12.0,9.0,"New Zealand’s most famous winemaking region may be best known for its Sauvignon Blanc, but some vibrant Rieslings are also made here, and seem to have found a home away from home in Marlborough's temperate climate. Showing enticing aromas of lime, apple and vibrant passion fruit, this is immensely fresh despite being off-dry. An intriguing apéritif, this wine can also be paired well with lightly spiced, aromatic Thai food or glazed ham.",https://www.majestic.co.uk/Villa-Maria-Private-Bin-Riesling-zid37120
156,France,Merlot,Non,Red Wine,Blackcurrant Reds,Natural Cork,14.5,10.9,"This meticulously managed property has be owned by the Nicoletti since 1956.  Hand picking and sorting of the grapes is the norm and the intention is to always make the best quality wine that speaks of its fine terroir. This is a smooth and powerful wine with big flavours of blackcurrant, liquorice and sweet spices. It is drinking beautifully now but could equally be aged for another 5 years. Try this with a rare roast joint of beef.",https://www.majestic.co.uk/Chateau-Tour-Bayard-Montagne-zid02163
157,France,Syrah-Shiraz,Non,Red Wine,Blackcurrant Reds,Natural Cork,14.0,10.5,"The local producers' cooperative in the village of Roquebrun was formed in 1968, and today they enjoy their own sub-appellation of St-Chinian, essentially all to themselves. The wines are made using semi-carbonic maceration, for a freshly aromatic style. A deep, lustrous and inky colour, the wine has a nose of crushed red fruit, wild herbs and a hint of smoke. The palate is rich and ripe, with a supple tannic structure and multi-layered texture. Pair with any hearty and robust dish, such as spicy liver meatballs.",https://www.majestic.co.uk/La-Grange-des-Combes-zid09018
158,Spain,Albariño,Dry,White Wine,Fresh Whites,Screwcap,12.5,9.4,"As seen on TV. Perhaps unsurprisingly given the seafood-rich gastronomy of Spain's north coast, Vintae have settled on the region's most famous white, Albariño as their ideal accompaniment for octopus, a typical dish of Galicia and the Basque country. A fresh and vibrant wine with a pleasant balance between citrussy refreshment and easy-going apple and stone-fruit flavours, delivered on a satisfyingly soft-edged palate. Will pair well with many flavoursome seafood dishes, but try it with octopus dressed with olive oil and paprika for the full experience.",https://www.majestic.co.uk/Bienbebido-Pulpo-Albarino-zid14559
159,South Africa,Grenache,Non,Red Wine,Plummy Reds,Natural Cork,13.5,10.1,"Hurry! When it's gone, it's gone - wigig",https://www.majestic.co.uk/Newton-Johnson-Full-Stop-Rock-zid20312
160,France,Cinsault,Dry,Rosé Wine,Fruity Rosés,Screwcap,12.0,9.0,"A light and pale rosé from vineyards located between the villages of Cruzy and Argeliers in the Languedoc. Made primarily from Cinsault, with just a dash of Muscat in the blend. Bright and crisp, with very subtle strawberry fruit and a refreshing dryness. The small proportion of Muscat adds a dash of juicy grapeyness. Refreshing to drink on its own, or as an accompaniment to a crab salad or prawn cocktail.",https://www.majestic.co.uk/Cuvee-de-Richard-Rose-zid08175
161,Spain,Tempranillo,Non,Red Wine,Smooth Reds,Natural Cork,14.5,10.9,"Coming from a selection of vineyards between 15 and 25 years of age this wine spends 50% French and 50% American oak for 12 months prior to bottling. The Tempranillo clones are old and pure here, known as Tinto Fino. Real intensity on the palate, with layers of concentrated blackberry, toasted herbs, smoke and vanilla. Full-bodied and a long length, the remarkably integrated, ripe tannins give a firm structure. Enjoy now if you like modern interpretations of Tempranillo, or age over the following 6-8 years to soften the fruit and spices.",https://www.majestic.co.uk/Emilio-Moro-zid14437
162,South Africa,Cabernet Sauvignon,Non,Red Wine,Plummy Reds,Screwcap,14.0,10.5,"This Bordeaux blend comes from the Gabb family's vineyards, and has been named to commemorate the installation of a working Shropshire-built trebuchet at the estate, to serve as a showpiece and as the centre of fundraising activities for local causes. Deep garnet-purple colour, offering flavours of ripe blackberries and plums, accompanied by earthy undertones. Firm tannins provide ample weight and structure, smoothed by gentle oak. Great with a flavoursome rib steak.",https://www.majestic.co.uk/Trebuchet-Red-zid20288
163,Italy,Fiano,Dry,White Wine,Tropical Whites,Natural Cork,13.0,9.8,"Masseria Surani is an estate dating back to the early 1900's, and is located just 6km from the Ionian coast in Apuglia, Italy's 'heel'. The Fiano grape is found almost exclusively in southern Italy and Sicily, and is thought to have it origins in ancient Greece. A bright lemon colour with a golden tinge. The nose offers an inviting mixture of citrus and tropical fruit with floral hints. Crisp acidity and good palate texture make for a refreshing, satisfying feel. Drink with a salad, generously dressed with olive oil, anchovies and pine kernels. Try with glazed pork chops.",https://www.majestic.co.uk/Pietrariccia-Fiano-zid13266
164,Australia,Chardonnay,Dry,White Wine,Creamy Whites,Screwcap,12.5,9.4,"Located in Margaret River, in the South Western corner of Australia, Vasse Felix have a state-of-the-art winery where this Chardonnay is produced using premium parcels of fruit and partial wild yeast fermentation in French oak barriques. A toasty, nutty nose, with peach and tropical fruits on the palate, complemented by nutty hints and a touch of vanilla toast, a full flavoured wine, yet reserved and well integrated. A fabulous choice for white-meat dishes.",https://www.majestic.co.uk/Vasse-Felix-Filius-Chardonnay-zid19608
165,Argentina,Malbec,Non,Red Wine,Powerful Reds,Synthetic Cork,13.5,10.1,"This wine has been made in a 'reserva' style, having undergone 12 months' ageing in oak barrels. The fruit comes from the Valle de Aminga in Argentina's aptly named La Rioja province, which has deep, sandy soils and a semi-arid climate. An inky, almost opaque wine with a blackish-purple hue. The flavours are of plum, bramble and ripe blueberries, delivered with a forward, vigourous manner tempered by sweet, spicy oak. Best enjoyed with red meats seasoned with mild aromatic spices and served with roasted vegetables.",https://www.majestic.co.uk/San-Huberto-Malbec-zid40121
166,France,Gamay,Non,Red Wine,Light Reds,Screwcap,13.0,9.8,"Fleurie is one of the ten crus of Beaujolais and one of the most sought after. Georges Duboeuf is one of the best known winemakers in this region to the south of Burgundy, and has been nicknamed the King of Beaujolais. Classic Fleurie with fresh cherry fruits and a fragrant, floral perfume. Concentrated fruit and light tannic presence are testament to the cru status of this wine. An attractive wine with a silky texture. Served at cellar temperature (approximately 12oC) this is a refreshing companion to a light summer lunch. Try with glazed ham.",https://www.majestic.co.uk/Fleurie-zid07129
167,Australia,Chardonnay,Dry,White Wine,Creamy Whites,Screwcap,14.0,10.5,"De Bortoli practice high input viticulture with a huge emphasis on site selection and the use of mature vines.  This approach has enable them to produce, among many others, the great sweet wine Noble One.  The same care is applied to this entry level Chardonnay. Carefully selected yeast gives this wine a creamy texture with flavours of peach and nectarine and just the slightest hint of vanilla. The creamy texture is balanced by fine acidity. This is best enjoyed with a creamy fish pie.",https://www.majestic.co.uk/-The-Astronomer-Chardonnay-zid19149
168,South Africa,Syrah-Shiraz,Non,Red Wine,Smooth Reds,Natural Cork,14.5,10.9,"An exciting blend of 5 grape varieties, from innovative winemaker Marc Kent. Dominated by around 67% Syrah, the grapes come from several specially selected blocks of vines on Boukenhoutskloof's estate, fermented and aged for up to 18 months in old French oak. An earthy, rustic nose gives up aromas of leather, earth and spices over a backdrop of blackcurrant and ripe raspberry fruit. Harmonious and powerful on the palate, with a cocoa and pepper complexity. Most at home with spice-rubbed steaks, roast rib of beef, or game dishes.",https://www.majestic.co.uk/The-Chocolate-Block-zid20245
169,France,</div,Non,Red Wine,Blackcurrant Reds,Screwcap,13.0,9.8,"This is a stunning value, soft and juicy Côtes du Rhône packed with fresh strawberry flavours, and spicy peppery notes from the blend of Grenache and Syrah.",https://www.majestic.co.uk/Cotes-du-Rhone-Cuvee-des-Prelats-zid06603
170,France,Chardonnay,Dry,White Wine,Fresh Whites,Synthetic Cork,12.5,9.4,"From one of the northernmost wine-growing areas in the world, where a combination of cool weather, limestone soils and a layer of Kimmeridgian clay producing one of the world's most iconic wine-styles. Vocoret sources grapes from the entire appellation for their Chablis. Steely and minerally aromas with citrus fruits, limestone,  slate and a crisp, fresh and vibrant palate of stony fruits, limestone, grapefruit and lemons, finishing on a racy and uplifting citrus kick. 'Village' Chablis are best enjoyed in their youth before the freshness fades, as either an apéritif or with seafood.",https://www.majestic.co.uk/Chablis-zid04250
171,Australia,Syrah-Shiraz,Non,Red Wine,Spicy Reds,Screwcap,15.0,11.3,"Two Hands was established in 1999, with a view toward showcasing the best Shiraz that Australia, and particularly Barossa, could offer. This blockbusting example comes from vineyards in the slightly cooler coastal climes of McLaren Vale. Aromatically rich and complex, with notes of coffee, cocoa and cola against a backdrop of mulberry and plum fruit. Immense and mouth-coating, with lashings of soft, rounded tannins. Drink now or cellar for up to 10 years.",https://www.majestic.co.uk/-Angels-Share-Shiraz-zid19016
172,France,Ugni Blanc,Dry,White Wine,Fresh Whites,Screwcap,11.0,8.3,"Sourced from a range of vineyards, primarily in the Charentes and Gascogne regions, supplemented by traditional varieties from the Loire Valley, this is a versatile and easy-drinking wine very much in the southern French tradition. Light with an up-front nose of citrus fruit, tinged with a subtle leafy character. Crisp and dry on the palate, with plenty of refreshing acidic bite. A great lunchtime white, ideal as a partner for rice or pasta salads, or simple white meat and fish dishes.",https://www.majestic.co.uk/Cuvee-Sainte-Genevieve-Blanc-zid10349
173,France,Grenache,Non,Red Wine,Spicy Reds,Natural Cork,13.0,9.8,"Galets are the large pudding stones found in the Rhône valley which help store heat and provide excellent drainage. This Côtes-du-Rhône is blended to provide an accessible, early drinking style without being overly tannic or full bodied. Showing gorgeous, succulent notes of red and black berry fruit flavours and a warming hint of spiciness. Soft and supple tannins contribute to a long and rounded finish. Enjoy as a red to go with canapés or food at parties, or the spicy richness can match a range of red meat dishes.",https://www.majestic.co.uk/-Les-Galets-Cotes-du-Rhone-zid06562
174,France,Gewürztraminer,Off Dry,White Wine,Medium-Dry Whites,Screwcap,13.0,9.8,"Cave Vinicole de Hunawihr was the first cooperative in Alsace and the third in France as a whole. The winery was built in the 1950s by the founding vignerons, who tended their vines by day and worked on the building by night, creating a winery that is still in use today. Fresh and open, with a pale straw colour and light body. Aromas of apricot and yellow plum, with hints of white rose. A gently sweet palate with firm acidity that dries and lengthens the finish. Best enjoyed with pungent soft cheeses such as Munster, or with spiced oriental cuisine.",https://www.majestic.co.uk/Kuhlmann-Platz-Gewuerztraminer-zid11073
175,New Zealand,Sauvignon Blanc,Dry,White Wine,Tropical Whites,Screwcap,13.0,9.8,"Winemaker David Clouston spent a number of years working at wineries in the USA, France, Spain and Chile before returning to his native Marlborough, and now lives in a black-painted wooden cottage in the Wairau Valley after which the winery is named. Bright, pale yellow, with lime green tinges. Offers aromas of gooseberries with a hint of lychee and a leafy complexity. Tropical and herbaceous characters continue on the crisply acidic palate. Drink with mildly pungent cheeses such as feta or chêvre, or with a crayfish salad.",https://www.majestic.co.uk/Black-Cottage-Sauvignon-Blanc-zid37286
176,Spain,Macabeo,Dry,White Wine,Fresh Whites,Screwcap,12.5,9.4,"La Serrana Macabeo is an astonishingly well made wine for such a bargain price. Modern techniques lead to a clean, fresh style that has preserved the varietal characteristics. Fresh, floral aromas reminiscent of aromatic herbs such as anise and fennel, the smooth and velvety palate is fruit driven with citrus and banana flavours. Refreshing and juicy, this is a great ‘anytime’ wine, which will be fantastic on its own or with buffet food.",https://www.majestic.co.uk/La-Serrana-Macabeo-zid14368
177,New Zealand,Pinot Gris,Dry,White Wine,Appley Whites,Screwcap,12.5,9.4,"As seen on TV. 2014 was a perfect year for growing Pinot Gris.  Flowering was unhindered by frost, rainfall was low but fell at the right time.  A cooler March enabled the grapes to ripen slowly creating a great balance of acidity and intensity of flavour. This is a full and rich wine.  The nose has aromas of red apple, pear and orange blossom.  The palate is has richly flavoured fruit and a complex spicy finish. This is a perfect match for all dishes with Asian flavours.",https://www.majestic.co.uk/Mud-House-Pinot-Gris-zid37360
178,Germany,Riesling,Dry,White Wine,Perfumed Whites,Screwcap,12.0,9.0,"Our Germany buyer Hollyspent many months looking for a dry German Riesling before discover this example from the small family winery Peeter &amp; Ulrich Griebeler in the Mosel. This wine is crisp and elegant with notes of ripe apple, peach and apricot.  A perfect balance between rich fruit flavours and refreshing acidity with just a hint of minerality on the finish. A great food wine this will match with salads, fish or lightly spiced meat dishes.",https://www.majestic.co.uk/Peter-Ulrich-Dry-Riesling-zid12048
179,Argentina,Malbec,Non,Red Wine,Powerful Reds,Natural Cork,14.5,10.9,"An intriguing blend of mature-vine Malbec with the traditional Port grape, Touriga Nacional, in a dry and fruit-driven style. Although grown in the Andean foothills, the Douro Valley influence is immediately evident in this blend, with its dark hue and earthy nose. Heady violet and mulberry aromas fill the nose, and the rich black fruit from both Malbec and Touriga Nacional combine on the palate to dominate and leave a rich, long finish. The dense, full nature of this interesting blend make it open to a large array of dishes, but try with rich or spicy casserole.",https://www.majestic.co.uk/Vinalba-Malbec-Touriga-Nacional-Reserve-zid40084
180,Spain,Grenache,Dry,Rosé Wine,Fruity Rosés,Screwcap,12.5,9.4,"Central Spain is one of the most diverse and prolific wine producing regions in Europe, and is the source of many great value wines such as this fruit-driven rosé. A short maceration gives a light, delicate and easy-drinking style. An intense pink wine with plenty of juicy berry fruit. Strawberry and raspberry flavours are complemented by a creamy texture and crisp, refreshing acidity. A perfect summertime apéritif!",https://www.majestic.co.uk/La-Serrana-Rose-zid08130
181,Argentina,Malbec,Non,Red Wine,Powerful Reds,Screwcap,13.0,9.8,"Malbec is Argentina's signature grape variety. This is an excellent example made from grapes grown in the foothills of the Andes, one of the most favoured areas for cultivating grapes in Argentina. Ripe bramble and spicy blackberry notes on the nose are echoed on the richly textured palate, with hints of vanilla oak and balanced acidity on the finish. Ideal with grilled red meats or spicy pasta dishes.",https://www.majestic.co.uk/Argento-Malbec-zid40016
182,New Zealand,Merlot,Non,Red Wine,Smooth Reds,Screwcap,13.5,10.1,"Oyster Bay has been producing wine of international acclaim since winning the 'Best International Sauvignon' at the 1991 IWSC. A leading example of the 'New Zealand Style', fashioned from fruit grown in Hawkes Bay's Bordeaux-esque climate. Plumy, jammy and ripe berry fruits augmented by hints of spice, toasted oak and chocolate aromas are followed by a rich, rounded and fruity palate with subtle oak and spices and an intense finish. Enjoy over the next three years with everything from pizza to spaghetti bolognese and from roast turkey to pork chops.",https://www.majestic.co.uk/Oyster-Bay-Merlot-zid37142
183,Chile,Carmenère,Non,Red Wine,Spicy Reds,Screwcap,13.5,10.1,"Sourced from our vineyards in the Valle de Aconcagua. This region features a Mediterranean climate. From hand picked grapes, fermented in stainless steel and aged in French and American oak barrels. On the palate, this medium-bodied wine is structured by big, mouth-filling tannins. Spicy notes linger on the palate, with hints of dark chocolate and coffee, through the long, pleasant finish. Enjoy with a perfectly grilled rib eye steak.",https://www.majestic.co.uk/Errazuriz-Estate-Series-Carmenere-zid39192
184,USA,Zinfandel,Non,Red Wine,Powerful Reds,Screwcap,13.5,10.1,"This wine has been specially selected for Majestic and comes from a long established family owned winery in California with a strong emphasis on quality. Full bodied with a supple texture.  Flavours of ripe plum and cherry with notes of liquorice, toast and spicy oak. Try this with red meats or with roast duck",https://www.majestic.co.uk/Parcel-Series-Old-Vine-Zinfandel-zid18109
185,USA,Chardonnay,Dry,White Wine,Creamy Whites,Natural Cork,14.0,10.5,"One of California's coolest vineyard areas, Edna Valley is the ideal location for creating refined, restrained and elegant Chardonnay. The grapes are whole-bunch pressed and fermented in French and Hungarian oak, followed by nine months' lees ageing. Combining typically Californian richness of texture with great freshness of fruit and subtle complexity, with crisp acidity cutting through the layers of ripe apple fruit and toasty oak. A fine match for roast poultry.",https://www.majestic.co.uk/Edna-Valley-Chardonnay-zid18127
186,USA,Pinot Noir,Non,Red Wine,Spicy Reds,Natural Cork,13.5,10.1,"Clos du Bois have almost 800 acres of vineyards throughout Sonoma County and the coastal regions of California. This Pinot Noir comes mainly from the Central and North Coast areas, and has been matured for 8 months in French, American and Eastern European oak. A lush, fruit-driven Pinot Noir, made in California's trademark style. Strawberry and cherry fruit are accompanied by hints of lavender and forest floor, supported by silky tannins. Drink with slow-roasted pork shoulder or goose.",https://www.majestic.co.uk/Clos-du-Bois-Pinot-Noir-zid18073
187,New Zealand,Pinot Grigio/Gris,Dry,White Wine,Medium-Dry Whites,Screwcap,13.0,9.8,"Winemake David Clouston sources this Pinot Gris from several selected plots in Marlborough's Wairau and Awatere Valleys. The grapes are night-harvested to preserve acidity and purity of fruit characters, further supported by a long, cool fermentation. This rich and succulent Pinot Gris is filled with vibrant aromas of roses, pear and exotic spices. The palate is awash with flavours of stone fruit, ginger and retains a hint of natural sweetness. A perfect match for spicy Asian cuisine.",https://www.majestic.co.uk/Black-Cottage-Pinot-Gris-zid37314
188,France,Grenache,Non,Red Wine,Light Reds,Screwcap,12.0,9.0,"This wine is made from grapes sourced from a number of growers, and vinified at Caves de Landiras, a state-of-the-art winery at the heart of the winemaking scene for many small vaineyards in the south and southwest corners of France. Supple and inviting, this wine blends the soft and jammy raspberry fruit of ripe Grenache with the firming influences of Carignan's blackberry flavours and robust tannin. Light-to medium-bodied, this wine will partner with anything from cold cuts to flavoursome pasta dishes.",https://www.majestic.co.uk/Cuvee-Sainte-Genevieve-Rouge-zid09484
189,New Zealand,Pinot Noir,Non,Red Wine,Cherry Reds,Screwcap,12.5,9.4,"Russian Jack was a merchant sailor from Latvia, who found himself in New Zealand and became a legendary travelling fruit picker, living a nomadic life for over 50 years in the Wellington area. A statue dedicated to his memory now stands in the town of Masterton. A finely balanced Pinot offering ripe red berry fruit underpinned by a fresh crunchiness and savoury notes. Tannins are ripe and supple, polished and spice-infused by 9 months in oak. The perfect wine to pair with smoked duck.",https://www.majestic.co.uk/Russian-Jack-Pinot-Noir-zid37345
190,France,Merlot,Non,Red Wine,Savoury Reds,Natural Cork,13.0,9.8,"This lovely cru bourgeois is unusual in that it is a Merlot-based blend from the Médoc, where Cabernet normally dominates the proceedings. The result is a supple wine with more everyday appeal than most. Offering a soft and jammy fruit character, with subtle notes of damp earth and orange peel on the nose and a supple palate. Utterly approachable, this is a great match for simple stews or cassoulet.",https://www.majestic.co.uk/Chateau-Griviere-zid01192
191,Italy,Corvina,Non,Red Wine,Smooth Reds,Natural Cork,13.0,9.8,"The Boscaini family have owned and run Masi for six generations, and are one of Veneto's most well established producers. This wine is made by fermenting fresh grapes, then re-fermenting the wine along with some partially dried grapes, to create rich and complex flavours. Dark ruby red with subtle violet tinges. Aromas are predominantly of ripe cherries, with nuances of vanilla and cinnamon. Rich and mouth-filling, with soft tannins and a velvety, savoury finish. Drink with a selection of matured cheeses, black olives and Parma ham.",https://www.majestic.co.uk/Campofiorin-zid13168
192,Chile,Cabernet Franc,Non,Red Wine,Blackcurrant Reds,Screwcap,13.5,10.1,"As well as being a constituent of many Bordeaux blends, Cabernet Franc is the classic red variety of much of the Loire region, particularly Saumur and Chinon. This Chilean example offers a rare glimpse of Cabernet Franc a single varietal wine from outside of France. A medium-bodied, ruby red wine, offering aromas of ripe red berries, wild herbs and tomato leaf. The palate delivers ripe cherry and raspberry fruit, with both fresh acidity and rounded tannin. A great partner for soft cheeses and fresh tomato pasta dishes.",https://www.majestic.co.uk/Santa-Rita-120-Cabernet-Franc-zid39303
193,South Africa,Chardonnay,Dry,White Wine,Creamy Whites,Screwcap,13.0,9.8,"With this Chardonnay, the winemakers set out to create a wine offering a combination of the respective benefits of oaked and unoaked interpretations of the variety, using cool fermentation in tank followed by only 7 months' lees ageing in barrel. Fresh lemon and peach fruit provide the backdrop, which is overlaid with gentle notes of toasted hazelnut and vanilla. Plenty of refreshing acidity and a creamy palate texture. Drink with pan-seared fish and steamed vegetables.",https://www.majestic.co.uk/Ondine-Chardonnay-zid20280
194,France,Gamay,Non,Red Wine,Light Reds,Natural Cork,13.0,9.8,"Since the Middle Ages the fine wines of the Château de Pizay have been appreciated by Beaujolais-lovers. The Château includes a four-star hotel with 64 rooms and a gourmet restaurant. This is an ideal place to discover the charming pleasure of the Beaujolais. This top class wine has a nose dominated by blackberries and cherries and a silky smooth palate with fine tannins combining. Classic Morgon, showing the fruit of Beaujolais and the charm of Burgundy. This wine is ready to drink now but Morgon is one of the longest-lasting crus and will therefore develop for a futher year or two.",https://www.majestic.co.uk/Morgon-zid07172
195,Italy,Sangiovese,Non,Red Wine,Cherry Reds,Natural Cork,13.5,10.1,"Chianti comes from the famous region of Tuscan in West-central Italy. This Chianti, is from the heartland of the Chianti zone from perfect south-easterly facing slopes near the village of San Leonino. This is a very traditional style of Chianti. Full of red cherry flavours and violets, with vibrant acidity, hints of sweet spices and a beautiful long, silky finish. Drink now or keep for 3-4 years. The acidity in this wine make it a perfect food match to most Italian foods. A perfect partner to roast meats, pasta dishes and pizza.",https://www.majestic.co.uk/Chianti-Classico-San-Leonino-zid13746
196,Spain,Tempranillo,Non,Red Wine,Smooth Reds,Natural Cork,13.5,10.1,Terres del Alforins is located in the south west of the province of Valencia and is know as the 'Valencian Tuscany'  The fertile valley has a multitude of small vineyards grown on trained in the traditional bush vines. Red berry aromas and flavours are followed by elegant toast from the oak ageing.  Well balanced and harmonious the finish is long and velvety. With grilled lamb with thyme or rosemary.,https://www.majestic.co.uk/La-Font-Reserva-zid14572
197,Spain,Tempranillo,Non,Red Wine,Smooth Reds,Natural Cork,14.0,10.5,"Viña Pomal is the flagship wine of Bodegas Bilbaínas, one of Rioja's oldest estates, and has now been produced for over 100 years. The winery had a bottling plant near London's Charing Cross in the 1940's, and Viña Pomal was reputed to be a favourite of Winston Churchill. This deep cherry red wine is full of black fruit and liquorice notes, with hints of cocoa and toast from 12 months' ageing in American oak barrels. Supple tannins and elegant on the palate. Pairs with the typical Rioja matches like grilled red meats, but will also accompany rice dishes, cheese or pâté.",https://www.majestic.co.uk/Rioja-Crianza-zid14455
198,Italy,Sangiovese,Non,Red Wine,Cherry Reds,Natural Cork,12.5,9.4,"Hurry! When it's gone, it's gone - wigig",https://www.majestic.co.uk/Castellani-Chianti-Riserva-zid13858
199,Chile,Pinot Noir,Non,Red Wine,Light Reds,Screwcap,13.5,10.1,"Don Maximiano Errázuriz founded Viña Errázuriz in 1870 in the Valle de Aconcagua, 100 kms north of the capital city, Santiago. He realised that the cool, rainy winters and hot, dry summers combined with Pacific breezes to make it an ideal area to grow grapes. An attractive colour with an aromatic nose of cherries, floral notes and a touch of mint. The fresh palate displays fruit that is well-balanced by smoky nuances from the oak ageing. A smooth, silky mouthfeel make this an excellent partner to roast pork, turkey or fillet of salmon.",https://www.majestic.co.uk/Errazuriz-Estate-Series-Pinot-Noir-zid39164
200,France,Cabernet Sauvignon,Non,Red Wine,Spicy Reds,Natural Cork,13.0,9.8,"From the gravelly dunes of Léoville-Barton's vineyards, leading down to the bank of the Gironde, La Réserve is the second wine of this famous property. As an earlier drinking version of the grand vin, this is real value for money. With a classic 'left bank' nose of smoky blackberry fruit and pencil lead, the palate is rich and rounded with assertive tannins, ample fruit and well integrated oak. Serve with shoulder of lamb braised in wine. Drinking well at the moment, but will keep for another 5 or so years.",https://www.majestic.co.uk/La-Reserve-de-Leoville-Barton-zid01356
201,Spain,Albariño,Dry,White Wine,Tropical Whites,Natural Cork,13.0,9.8,Named after prehistoric markings found on stones in Galicia and all over Europe The Cup and Rings Albariño is a joint project between Norrel Robertson MW and Terras do Ciggaron.  The wine is aged on fine lees adding richness and complexity. This complex wine has aromas of green mango and dried apricot with notes of eucalpytus and spice. The palate is full yet fresh with tropical fruit flavours and a long saline finish. A classic match for seafood especially shellfish but also works well with spicy dishes.,https://www.majestic.co.uk/The-Cup-And-Rings-Albarino-Sobre-Lias-zid14565
202,Austria,Grüner Veltliner,Dry,White Wine,Fresh Whites,Screwcap,12.0,9.0,"The Wachau region of Austria comprises of a 33 kilometer long gorge overlooking the Danube river. Produced from vines grown around the Weissenkirchen parish including the hamlets of Joching and Wösendorf. Grüner Veltliner is an aromatic variety primarily from Austria. The colour of fresh straw, an alluring nose of gooseberries with a hint of green apple and flowers. Well balanced acidity and citrus fruits leading to a spicy, lively wine of minerality and elegance. Drinkable at any time over the next six years. An excellent accompaniment to Prosciutto, seared scallops, bisques or gorgonzola.",https://www.majestic.co.uk/Gruener-Veltliner-zid12485
203,New Zealand,Pinot Noir,Non,Red Wine,Cherry Reds,Screwcap,13.5,10.1,"Mount Difficulty is a boutique winery located in Bannockburn in Central Otago. The Bannockburn area is internationally recognized as one of the few places in the world where the petulant Pinot Noir variety has found a home outside Burgundy. This wine exhibits a lovely mix of red and black berry fruits with further complexity gained from oak spice. These characters are balanced by soft tannins, balanced acidity and a fruit-driven finish. This is a cracking, complex wine to be enjoyed over the next five years. Enjoy with pork loin and peach chutney or rabbit casserole.",https://www.majestic.co.uk/Roaring-Meg-Pinot-Noir-zid37179
204,Chile,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Screwcap,13.0,9.8,"As seen on TV. This cool-climate Sauvignon Blanc from Errazuriz comes from the Casablanca Valley, which is heavily moderated by its close proximity to the Pacific Ocean and benefiting from cool air and morning fogs. This wine is a classic example of a clean modern cool climate Sauvignon Blanc. It displays aromas of gooseberries and guava on the nose and is dry yet fruity on the palate. Enjoy with barbecued king prawns with a citrus twist.",https://www.majestic.co.uk/Errazuriz-Sauvignon-Blanc-zid39214
205,Spain,Tempranillo,Non,Red Wine,Smooth Reds,Natural Cork,13.5,10.1,"This famous Rioja bodega was founded in 1885 by Don Felipe Lagunilla San Martín, who is credited with rescuing Rioja's vineyards from the phylloxera epidemic, through his pioneering work in grafting vines onto American rootstocks.  A classic Reserva wine, striking a balance between meatiness and elegance. 24 months in oak casks has endowed it with an enjoyable smoothness and mellow, spicy aromatics. Partner with roast shoulder of lamb, or any number of game dishes.",https://www.majestic.co.uk/Rioja-Reserva-zid14207
206,France,Chardonnay,Dry,White Wine,Appley Whites,Natural Cork,12.5,9.4,"The Côte Chalonnaise in the southern part of the Côte d'Or is responsible for the majority of winemaking in Burgundy, where cooperatives of growers produce some of the most consistently good quality wines such as this Chardonnay, representing great value. With just 3% of the blend fermented in new oak, this is a fresh and crisp Chardonnay with a focus on golden apple and citrus flavours, with very subtle texture and toastiness. The perfect white wine to accompany cod or other white fish cooked 'au gratin'.",https://www.majestic.co.uk/Bourgogne-Cote-Chalonnaise-zid04362
207,South Africa,Syrah-Shiraz,Non,Red Wine,Spicy Reds,Screwcap,14.0,10.5,"Made by Ormonde Private Cellars, this is a blend of Shiraz with around 7% Cabernet, grown on the granitic Darling Hills region of South Africa's Western Cape. The wine is matured for 11 months in new and old oak barrels. A backbone of wild red and black berries, with characteristic hints of cloves and other sweet spices. The tannins are weighty and abundant yet soft and ripe in texture. The winery suggests serving with pork fillet on a bed of rocket dressed with olive oil, raspberries and pecorino.",https://www.majestic.co.uk/Ondine-Shiraz-zid20281
208,Argentina,Malbec,Non,Red Wine,Blackcurrant Reds,Natural Cork,14.5,10.9,"Hurry! When it's gone, it's gone - wigig. Matias Riccitelli crated Riccitelli Wines in 2009 with the aim of creating wines that express Argentina's top terroirs by restricting yields and treating the grapes with the utmost care. This wine is complex and rich with flavours of blackberry, cherry and liquorice lifted by a floral note on the elegant finish. Great with grilled red meat or even chocolate!",https://www.majestic.co.uk/Riccitelli-Vineyard-Selection-Malbec-zid40168
209,France,Colombard,Dry,White Wine,Fresh Whites,Screwcap,11.5,8.6,"From Vin de Pays du Comté Tolosan, to the south of Bordeaux on France's Atlantic coast, Cuvée de Richard Blanc is an easy drinking wine that offers remarkable value for money. A light, crisp and easy drinking blend, with ripe fruits and a fresh citrussy finish. An excellent apéritif wine, that will also match gracefully light dishes such as chicken salads.",https://www.majestic.co.uk/Cuvee-de-Richard-Blanc-zid10262
210,Italy,Nebbiolo,Non,Red Wine,Powerful Reds,Natural Cork,14.5,10.9,"Natale Verga is the fourth-generation owner of the Verga family estate which was founded in 1895. This wine comes from grapes sourced from an 11-hectare estate owned by the Gomba family, and has been matured for 24 months in French oak casks. An inviting garnet colour, this wine offers a blackberry bouquet, accented with persistent notes of rose petal and subtle wood smoke. A warming palate with undertones of spice and graphite. A classic match for osso bucco or other slow-cooked beef dishes.",https://www.majestic.co.uk/Barolo-zid13184
